t	rad	xerr	yerr
33.335	-0.181	0.005	0.009
33.402	-0.177	0.005	0.009
33.468	-0.153	0.005	0.009
33.535	-0.112	0.005	0.009
33.602	-0.058	0.005	0.009
33.668	0.004	0.005	0.009
33.735	0.060	0.005	0.009
33.802	0.113	0.005	0.009
33.868	0.154	0.005	0.009
33.935	0.178	0.005	0.009
34.002	0.183	0.005	0.009
34.068	0.168	0.005	0.009
34.135	0.135	0.005	0.009
34.202	0.087	0.005	0.009
34.268	0.031	0.005	0.009
34.335	-0.030	0.005	0.009
34.402	-0.087	0.005	0.009
34.468	-0.136	0.005	0.009
34.535	-0.168	0.005	0.009
34.602	-0.178	0.005	0.009
34.668	-0.170	0.005	0.009
34.735	-0.144	0.005	0.009
34.802	-0.102	0.005	0.009
34.868	-0.047	0.005	0.009
34.935	0.014	0.005	0.009
35.002	0.069	0.005	0.009
35.068	0.120	0.005	0.009
35.135	0.159	0.005	0.009
35.202	0.180	0.005	0.009
35.268	0.182	0.005	0.009
35.335	0.164	0.005	0.009
35.402	0.128	0.005	0.009
35.468	0.079	0.005	0.009
35.535	0.021	0.005	0.009
35.602	-0.037	0.005	0.009
35.668	-0.095	0.005	0.009
35.735	-0.136	0.005	0.009
35.802	-0.170	0.005	0.009
35.868	-0.179	0.005	0.009
35.935	-0.167	0.005	0.009
36.002	-0.137	0.005	0.009
36.068	-0.091	0.005	0.009
36.135	-0.039	0.005	0.009
36.202	0.020	0.005	0.009
36.268	0.077	0.005	0.009
36.335	0.125	0.005	0.009
36.402	0.159	0.005	0.009
36.468	0.179	0.005	0.009
36.535	0.179	0.005	0.009
36.602	0.157	0.005	0.009
36.668	0.121	0.005	0.009
36.735	0.072	0.005	0.009
36.802	0.012	0.005	0.009
36.868	-0.044	0.005	0.009
36.935	-0.102	0.005	0.009
37.002	-0.141	0.005	0.009
37.068	-0.168	0.005	0.009
37.135	-0.175	0.005	0.009
37.202	-0.161	0.005	0.009
37.268	-0.133	0.005	0.009
37.335	-0.083	0.005	0.009
37.402	-0.029	0.005	0.009
